giorno,temperatura
 " 5-5-23:58 " ,19
 " 5-5-23:58 " ,18
 " 5-5-23:58 " ,19
 " 5-5-23:58 " ,18
 " 5-5-23:58 " ,19
 " 5-5-23:58 " ,18
 " 5-5-23:58 " ,19
 " 5-5-23:58 " ,18
 " 5-5-23:58 " ,19
 " 5-5-23:58 " ,18
 " 5-5-23:58 " ,19
 " 5-5-23:58 " ,18
 " 5-5-23:58 " ,19
 " 5-5-23:58 " ,18
 " 5-5-23:58 " ,19
 " 5-5-23:58 " ,18
 " 5-5-23:58 " ,19
 " 5-5-23:59 " ,18
 " 5-5-23:59 " ,19
 " 6-5-24:15 " ,20
 " 6-5-24:15 " ,19
 " 6-5-24:15 " ,20
 " 6-5-24:15 " ,19
 " 6-5-24:15 " ,20
 " 6-5-24:15 " ,19
 " 6-5-24:15 " ,20
 " 6-5-24:15 " ,19
 " 6-5-24:15 " ,20
 " 6-5-24:15 " ,19
 " 6-5-24:16 " ,20
 " 6-5-24:16 " ,19
 " 6-5-24:16 " ,20
 " 6-5-24:16 " ,19
 " 6-5-24:16 " ,20
 " 6-5-24:16 " ,19
 " 6-5-24:16 " ,20
 " 6-5-24:16 " ,19
